,result,table,_start,_stop,_measurement,_value,_time
,_result,0,2021-04-14T10:53:34.492757Z,2021-04-14T11:53:34.492757Z,http_api_request_duration_seconds,198.37602166517857,2021-04-14T10:54:00Z
,_result,0,2021-04-14T10:53:34.492757Z,2021-04-14T11:53:34.492757Z,http_api_request_duration_seconds,198.48824798869043,2021-04-14T10:55:00Z
,_result,0,2021-04-14T10:53:34.492757Z,2021-04-14T11:53:34.492757Z,http_api_request_duration_seconds,198.650779874256,2021-04-14T10:56:00Z
,_result,0,2021-04-14T10:53:34.492757Z,2021-04-14T11:53:34.492757Z,http_api_request_duration_seconds,198.81331138523808,2021-04-14T10:57:00Z
,_result,0,2021-04-14T10:53:34.492757Z,2021-04-14T11:53:34.492757Z,http_api_request_duration_seconds,198.97584265514882,2021-04-14T10:58:00Z
,_result,0,2021-04-14T10:53:34.492757Z,2021-04-14T11:53:34.492757Z,http_api_request_duration_seconds,199.13837406312499,2021-04-14T10:59:00Z
,_result,0,2021-04-14T10:53:34.492757Z,2021-04-14T11:53:34.492757Z,http_api_request_duration_seconds,199.2970368026488,2021-04-14T11:00:00Z
,_result,0,2021-04-14T10:53:34.492757Z,2021-04-14T11:53:34.492757Z,http_api_request_duration_seconds,199.45957017389878,2021-04-14T11:01:00Z
,_result,0,2021-04-14T10:53:34.492757Z,2021-04-14T11:53:34.492757Z,http_api_request_duration_seconds,199.62210328952378,2021-04-14T11:02:00Z
,_result,0,2021-04-14T10:53:34.492757Z,2021-04-14T11:53:34.492757Z,http_api_request_duration_seconds,199.78463496223216,2021-04-14T11:03:00Z
,_result,0,2021-04-14T10:53:34.492757Z,2021-04-14T11:53:34.492757Z,http_api_request_duration_seconds,199.94716710083335,2021-04-14T11:04:00Z
,_result,0,2021-04-14T10:53:34.492757Z,2021-04-14T11:53:34.492757Z,http_api_request_duration_seconds,200.10969831386907,2021-04-14T11:05:00Z
,_result,0,2021-04-14T10:53:34.492757Z,2021-04-14T11:53:34.492757Z,http_api_request_duration_seconds,200.27223021092263,2021-04-14T11:06:00Z
,_result,0,2021-04-14T10:53:34.492757Z,2021-04-14T11:53:34.492757Z,http_api_request_duration_seconds,200.43476241363092,2021-04-14T11:07:00Z
,_result,0,2021-04-14T10:53:34.492757Z,2021-04-14T11:53:34.492757Z,http_api_request_duration_seconds,200.59729433229165,2021-04-14T11:08:00Z
